covariate,num_papers,var_name,Source name,Source link,,,
slope,68,slope,Calculated from SRTM Digital Elevation Data Version 4,https://earthengine.google.com/,,,
elevation,67,elevation,Calculated from SRTM Digital Elevation Data Version 4,https://earthengine.google.com/,,,
distance to nearest or density of roads,60,nearest_road,"Calculated from Global Roads Open Access Data Set (gROADS), v1",https://sedac.ciesin.columbia.edu/data/set/groads-global-roads-open-access-v1,,,
distance or travel time to large population center,51,travel_time_city_2015,Accessibility to Cities 2015,https://earthengine.google.com/,,, 
precipitation,34,precipitation,WorldClim database bio12,https://earthengine.google.com/,,,
distance to population center,18,dist_settle,GHSL - Global Human Settlement Layer,https://ghsl.jrc.ec.europa.eu/ghs_smod2019.php,,,
distance to forest edge,18,NA,NA,NA,,,
forest or tree cover or density,18,treecover_2014,Calculated from Hansen et al 2013,https://earthengine.google.com/,,,
human population,17,human_pop_2014,WorldPop Global Project Population Data,https://earthengine.google.com/,,,
distance to nearest river,17,nearest_river,Calculated from HydroRIVERS,https://www.hydrosheds.org/products/hydrorivers,,,
temperature,16,temperature,WorldClim database bio01,https://earthengine.google.com/,,,
political boundary,15,prov_num,GADM ,https://gadm.org/ ,,,
vegetation forest or land cover or use type,14,veg_num,White's vegetation map,http://omap.africanmarineatlas.org/BIOSPHERE/pages/3_terrestrial%20vegetation.htm,,,
agricultural or land use suitability potenial or capacity,13,agri_suit,Combined suitability of global land area for pasture and rainfed crops (intermediate input level) (FGGD),https://data.apps.fao.org/map/catalog/srv/eng/catalog.search?id=14174&fname=Map6_63.zip&access=private#/metadata/78493320-8925-11db-b9b2-000d939bc5d8 ,,,
distance to named city,8,dist_lusaka,Calculated from GADM ,https://gadm.org/ ,,,
ecoregion,7,ecoregion_num,RESOLVE ecoregions 2017,https://ecoregions.appspot.com/,,,
